inventory_item_id,location_id,location_name,available,updated_at,admin_graphql_api_id
"=""41676285214875""","=""48176791707""",Manor Way,0,2022-04-11T14:01:45+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285214875
"=""41676285477019""","=""48176791707""",Manor Way,479,2025-10-29T11:21:48+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285477019
"=""41676285509787""","=""48176791707""",Manor Way,914,2025-10-27T15:44:05+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285509787
"=""41676285608091""","=""48176791707""",Manor Way,223,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285608091
"=""41676285640859""","=""48176791707""",Manor Way,153,2025-10-19T17:14:01+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285640859
"=""41676285673627""","=""48176791707""",Manor Way,205,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285673627
"=""41676285706395""","=""48176791707""",Manor Way,89,2025-11-02T17:15:32+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285706395
"=""41676285739163""","=""48176791707""",Manor Way,67,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285739163
"=""41676285771931""","=""48176791707""",Manor Way,473,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285771931
"=""41676285804699""","=""48176791707""",Manor Way,439,2025-10-27T15:44:05+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676285804699
"=""41676286001307""","=""48176791707""",Manor Way,335,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286001307
"=""41676286034075""","=""48176791707""",Manor Way,169,2025-10-27T15:28:22+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286034075
"=""41676286066843""","=""48176791707""",Manor Way,204,2025-11-02T17:15:31+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286066843
"=""41676286099611""","=""48176791707""",Manor Way,39,2025-10-23T14:01:50+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286099611
"=""41676286132379""","=""48176791707""",Manor Way,0,2025-07-31T12:21:45+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286132379
"=""41676286165147""","=""48176791707""",Manor Way,0,2025-05-14T09:02:55+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286165147
"=""41676286197915""","=""48176791707""",Manor Way,219,2025-11-02T17:15:32+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286197915
"=""41676286230683""","=""48176791707""",Manor Way,204,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676286230683
"=""41676287017115""","=""48176791707""",Manor Way,0,2024-10-11T15:51:42+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287017115
"=""41676287049883""","=""48176791707""",Manor Way,0,2025-03-14T09:42:32+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287049883
"=""41676287213723""","=""48176791707""",Manor Way,0,2024-09-10T13:04:56+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287213723
"=""41676287246491""","=""48176791707""",Manor Way,0,2024-01-02T16:20:55+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287246491
